Date,Open,High,Low,Close
15-April-2010,17804.55,17975.57,17619.02,17639.26,
16-April-2010,17645.91,17663.99,17529.55,17591.18,
19-April-2010,17584.86,17584.86,17276.80,17400.68,
20-April-2010,17394.68,17560.09,17394.68,17460.58,
21-April-2010,17458.76,17565.55,17446.51,17472.56,
22-April-2010,17476.48,17778.34,17408.02,17573.99,
23-April-2010,17533.88,17725.88,17533.88,17694.20,
26-April-2010,17692.26,17826.48,17692.26,17745.28,
27-April-2010,17744.93,17769.25,17678.56,17690.62,
28-April-2010,17643.59,17643.59,17344.58,17380.08,
29-April-2010,17382.09,17532.86,17382.09,17503.47,
30-April-2010,17503.47,17646.61,17503.47,17558.71,
3-May-2010,17536.86,17536.86,17345.92,17386.08,
4-May-2010,17371.75,17464.82,17101.96,17137.14,
5-May-2010,17103.95,17121.66,16858.23,17087.96,
6-May-2010,17080.47,17080.47,16823.00,16987.53,
7-May-2010,16939.58,16939.58,16684.13,16769.11,
10-May-2010,16799.49,17356.54,16799.49,17330.55,
11-May-2010,17336.13,17379.15,17104.45,17141.53,
12-May-2010,17141.53,17252.52,17028.08,17195.81,
13-May-2010,17323.63,17389.15,17240.35,17265.87,
14-May-2010,17267.25,17329.32,16923.65,16994.60,
17-May-2010,16961.92,16961.92,16551.00,16835.56,
18-May-2010,16840.59,17000.34,16744.13,16875.76,
19-May-2010,16802.39,16802.39,16373.32,16408.49,
20-May-2010,16419.10,16617.80,16419.10,16519.68,
21-May-2010,16317.94,16486.74,16187.03,16445.61,
24-May-2010,16494.61,16757.73,16413.03,16469.55,
25-May-2010,16444.57,16444.57,15960.15,16022.48,
26-May-2010,16069.78,16410.35,16069.78,16387.84,
27-May-2010,16410.88,16694.55,16331.10,16666.40,
28-May-2010,16692.66,16891.17,16692.66,16863.06,
31-May-2010,16872.17,16971.15,16806.50,16944.63,
1-June-2010,16942.82,16942.82,16318.39,16572.03,
2-June-2010,16574.79,16774.15,16571.45,16741.84,
3-June-2010,16786.28,17072.63,16786.28,17022.33,
4-June-2010,17036.55,17150.42,16963.92,17117.69,
7-June-2010,17069.77,17069.77,16686.73,16781.07,
8-June-2010,16760.60,16895.73,16560.64,16617.10,
9-June-2010,16621.12,16817.69,16591.26,16657.89,
10-June-2010,16668.91,16942.60,16668.91,16922.08,
11-June-2010,16994.07,17131.56,16994.07,17064.95,
14-June-2010,17118.74,17351.18,17118.74,17338.17,
15-June-2010,17355.49,17442.50,17249.46,17412.83,
16-June-2010,17500.30,17530.38,17407.30,17462.87,
17-June-2010,17490.52,17647.42,17394.90,17616.69,
18-June-2010,17628.02,17721.99,17525.29,17570.82,
21-June-2010,17654.81,17919.62,17654.81,17876.55,
22-June-2010,17868.12,17868.12,17725.63,17749.69,
23-June-2010,17694.87,17782.41,17629.19,17755.94,
24-June-2010,17750.51,17845.65,17632.80,17730.24,
25-June-2010,17705.11,17714.73,17546.73,17574.53,
28-June-2010,17577.66,17794.80,17571.85,17774.26,
29-June-2010,17777.95,17777.95,17465.73,17534.09,
30-June-2010,17476.85,17725.04,17373.78,17700.90,
1-July-2010,17679.34,17679.34,17455.41,17509.33,
2-July-2010,17523.47,17598.94,17426.78,17460.95,
5-July-2010,17473.83,17505.73,17423.74,17441.44,
6-July-2010,17402.68,17643.14,17395.58,17614.48,
7-July-2010,17623.66,17623.66,17447.15,17471.03,
8-July-2010,17536.48,17728.37,17536.48,17651.73,
9-July-2010,17667.85,17857.58,17667.85,17833.54,
12-July-2010,17875.97,18010.07,17874.95,17937.20,
13-July-2010,17908.30,17998.04,17855.85,17985.90,
14-July-2010,18024.95,18167.22,17897.26,17938.16,
